year,value,country,mnemonic,varlabel,title,subtitle,wbcountry_name,wbccode,wbregion_name,wbincome_name,wblending,countryid,indicatorid,date
2026,5,"AFG","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,204,"14 Aug 2024"
2012,18.730534,"AFG","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,204,"14 Aug 2024"
2013,.00526742,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2016,101.12486,"AFG","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Afghanistan","AFG","South Asia","Low income","IDA",1,219,"14 Aug 2024"
2007,3.6306357,"AFG","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,206,"14 Aug 2024"
2020,2.8821552,"AFG","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,202,"14 Aug 2024"
2012,-4.1293845,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2019,2.3040607,"AFG","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,204,"14 Aug 2024"
2026,83.121452,"AFG","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Afghanistan","AFG","South Asia","Low income","IDA",1,219,"14 Aug 2024"
2012,21.594452,"AFG","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,213,"14 Aug 2024"
2023,4.4499998,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2011,-.44128555,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2012,82.687782,"AFG","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,221,"14 Aug 2024"
2012,10.978088,"AFG","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,224,"14 Aug 2024"
2017,9.2067928,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2012,1.56059,"AFG","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Afghanistan","AFG","South Asia","Low income","IDA",1,229,"14 Aug 2024"
2024,1.95,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2022,2.6199999,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2019,4.794342,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2014,2.5242388,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2007,-2.4051657,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2013,15.464702,"AFG","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Afghanistan","AFG","South Asia","Low income","IDA",1,203,"14 Aug 2024"
2011,18.355406,"AFG","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,227,"14 Aug 2024"
2013,10.938578,"AFG","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Afghanistan","AFG","South Asia","Low income","IDA",1,211,"14 Aug 2024"
2013,5.0609908,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2013,5.3689027,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2026,1.265142,"AFG","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,216,"14 Aug 2024"
2007,3.6306357,"AFG","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Afghanistan","AFG","South Asia","Low income","IDA",1,229,"14 Aug 2024"
2009,4.8251052,"AFG","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Afghanistan","AFG","South Asia","Low income","IDA",1,217,"14 Aug 2024"
2017,6.0798101,"AFG","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,222,"14 Aug 2024"
2013,9.8861589,"AFG","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,228,"14 Aug 2024"
2024,1.7689787,"AFG","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,213,"14 Aug 2024"
2015,8.2816687,"AFG","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,213,"14 Aug 2024"
2022,3.0539818,"BGD","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,201,"14 Aug 2024"
2020,-.33985826,"BGD","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,210,"14 Aug 2024"
2009,18.363144,"BGD","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,220,"14 Aug 2024"
2011,2.9260747,"BGD","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,228,"14 Aug 2024"
2019,66.056976,"BGD","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,221,"14 Aug 2024"
2007,59.518219,"BGD","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,219,"14 Aug 2024"
2011,-3.0243812,"BGD","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,208,"14 Aug 2024"
2010,7.0322018,"BGD","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,215,"14 Aug 2024"
2025,8.5,"BGD","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,204,"14 Aug 2024"
2014,1.5508493,"BGD","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,205,"14 Aug 2024"
2012,6.5214353,"BGD","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,212,"14 Aug 2024"
2020,3.4480333,"BGD","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,212,"14 Aug 2024"
2021,-1.0990419,"BGD","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,202,"14 Aug 2024"
2022,9.8556843,"BGD","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,215,"14 Aug 2024"
2024,104.81017,"BGD","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,219,"14 Aug 2024"
2015,8.7515707,"BGD","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,213,"14 Aug 2024"
2023,-4.373857,"BGD","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,208,"14 Aug 2024"
2014,7.3494792,"BGD","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,204,"14 Aug 2024"
2010,69.185417,"BGD","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,218,"14 Aug 2024"
2012,10.518453,"BGD","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,216,"14 Aug 2024"
2022,20.897741,"BGD","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,223,"14 Aug 2024"
2016,8.3684282,"BGD","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,213,"14 Aug 2024"
2024,5.5606089,"BGD","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,216,"14 Aug 2024"
2019,13.094755,"BGD","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,222,"14 Aug 2024"
2023,37.652393,"BGD","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,224,"14 Aug 2024"
2013,2.4648876,"BGD","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,201,"14 Aug 2024"
2016,2.1143737,"BGD","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,217,"14 Aug 2024"
2024,5.6386929,"BGD","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,227,"14 Aug 2024"
2023,2.2109556,"BGD","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,216,"14 Aug 2024"
2026,3.3807862,"BGD","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,226,"14 Aug 2024"
2008,1.4544836,"BGD","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,211,"14 Aug 2024"
2026,36.029018,"BGD","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,207,"14 Aug 2024"
2008,26.126097,"BGD","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,224,"14 Aug 2024"
2019,.73117644,"BGD","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Bangladesh","BGD","South Asia","Lower middle income","IDA",14,211,"14 Aug 2024"
